Support_ID;Stations_ANFR_Orange;Nb_stations_orange;Exploitant_Orange;Latitude;Longitude;Hauteur_m;Nature_support;Proprietaire;Adresse;Code_postal;Code_INSEE;Departement;Technologies_systemes
632540;0012290269;1;Orange;45.83;5.0847222;30.0;Pylône autostable;TOTEM;Terre de l'Ile - chem rural;01360;01027;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 700 | LTE 800 | UMTS 900
356754;0012290220;1;Orange;46.2422222;5.6366667;27.0;Pylône autostable;TOTEM;R. du Moulin;01100;01031;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
454083;0010220171 | 0012290110;2;Orange | Orange service fixe;45.8633333;5.1286111;55.0;Pylône autostable;Sociétés d'Autoroutes;AV DU SOUVENIR - PRES A42 - PK 21 - D.84b/A.42;01360;01032;01;FH | 5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
2482508;0010220155 | 0012290199;2;Orange | Orange service fixe;46.1127778;5.8186111;31.0;Immeuble;Société HLM;11 rue Racine;01200;01033;01;FH | 5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
558920;0012290126;1;Orange;46.105;5.8227778;23.0;Bâtiment;ORANGE Services Fixes;5 r berlioz - Central téléphonique;01200;01033;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 700 | LTE 800 | UMTS 900
560065;0010220054 | 0012290237;2;Orange | Orange service fixe;46.1347222;5.8588889;25.0;Pylône autostable;TOTEM;Le Sorgia d'en Haut - Rte Forestière Le Sorgia;01200;01033;01;FH | 5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
653115;0012290112;1;Orange;46.1072222;5.8291667;47.0;Immeuble;Société HLM;3 pl Henri Dunant;01200;01033;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 2100 | LTE 700 | LTE 800 | UMTS 900
753468;0012290150;1;Orange;46.1225;5.8083333;14.5;Immeuble;Copropriété, Syndic, SCI;Ave P LANGEVIN - Bâtiment Le crêt d eau;01200;01033;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 700 | LTE 800 | UMTS 900
753955;0012290238;1;Orange;46.0913889;5.8177778;25.0;Pylône tubulaire;TOTEM;clos st Nicolas - chem du barrage - Stade municipal;01200;01033;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 700 | LTE 800 | UMTS 900
3260;0010220009;1;Orange service fixe;45.7597222;5.6830556;12.0;Bâtiment;TOTEM;60 r paul chastel - Central téléphonique;01300;01034;01;FH
